journal_id,line_number,posting_date,account_code,debit_amount,credit_amount,currency,external_reference,narration
jrn_2042_0005,4,2026-04-06,120000,0.00,5036.00,INR,set_2042_0005,Synthetic clearing credit
jrn_2042_0006,1,2026-04-07,110000,4491.96,0.00,INR,set_2042_0006,Synthetic bank receipt
jrn_2042_0006,2,2026-04-07,510000,119.53,0.00,INR,set_2042_0006,Synthetic gateway fee expense
jrn_2042_0006,3,2026-04-07,140000,21.51,0.00,INR,set_2042_0006,Synthetic input GST
jrn_2042_0006,4,2026-04-07,120000,0.00,4633.00,INR,set_2042_0006,Synthetic clearing credit
jrn_2042_0007,1,2026-04-08,110000,5027.02,0.00,INR,set_2042_0007,Synthetic bank receipt
jrn_2042_0007,2,2026-04-08,510000,117.78,0.00,INR,set_2042_0007,Synthetic gateway fee expense
jrn_2042_0007,3,2026-04-08,140000,21.20,0.00,INR,set_2042_0007,Synthetic input GST
jrn_2042_0007,4,2026-04-08,120000,0.00,5166.00,INR,set_2042_0007,Synthetic clearing credit
jrn_2042_0008,1,2026-04-09,110000,4813.33,0.00,INR,set_2042_0008,Synthetic bank receipt
jrn_2042_0008,2,2026-04-09,510000,110.74,0.00,INR,set_2042_0008,Synthetic gateway fee expense
jrn_2042_0008,3,2026-04-09,140000,19.93,0.00,INR,set_2042_0008,Synthetic input GST
jrn_2042_0008,4,2026-04-09,120000,0.00,4944.00,INR,set_2042_0008,Synthetic clearing credit
jrn_2042_0009,1,2026-04-10,110000,3559.05,0.00,INR,set_2042_0009,Synthetic bank receipt
jrn_2042_0009,2,2026-04-10,510000,89.79,0.00,INR,set_2042_0009,Synthetic gateway fee expense
jrn_2042_0009,3,2026-04-10,140000,16.16,0.00,INR,set_2042_0009,Synthetic input GST
jrn_2042_0009,4,2026-04-10,120000,0.00,3665.00,INR,set_2042_0009,Synthetic clearing credit
jrn_2042_0010,1,2026-04-11,110000,5198.68,0.00,INR,set_2042_0010,Synthetic bank receipt
jrn_2042_0010,2,2026-04-11,510000,135.02,0.00,INR,set_2042_0010,Synthetic gateway fee expense
jrn_2042_0010,3,2026-04-11,140000,24.30,0.00,INR,set_2042_0010,Synthetic input GST
jrn_2042_0010,4,2026-04-11,120000,0.00,5358.00,INR,set_2042_0010,Synthetic clearing credit
jrn_2042_0011,1,2026-04-12,110000,3850.24,0.00,INR,set_2042_0011,Synthetic bank receipt
jrn_2042_0011,2,2026-04-12,510000,93.87,0.00,INR,set_2042_0011,Synthetic gateway fee expense
jrn_2042_0011,3,2026-04-12,140000,16.89,0.00,INR,set_2042_0011,Synthetic input GST
jrn_2042_0011,4,2026-04-12,120000,0.00,3961.00,INR,set_2042_0011,Synthetic clearing credit
jrn_2042_0012,1,2026-04-13,110000,4938.42,0.00,INR,set_2042_0012,Synthetic bank receipt
jrn_2042_0012,2,2026-04-13,510000,129.31,0.00,INR,set_2042_0012,Synthetic gateway fee expense
jrn_2042_0012,3,2026-04-13,140000,23.27,0.00,INR,set_2042_0012,Synthetic input GST
jrn_2042_0012,4,2026-04-13,120000,0.00,5091.00,INR,set_2042_0012,Synthetic clearing credit
jrn_2042_0013,1,2026-04-14,110000,2218.67,0.00,INR,set_2042_0013,Synthetic bank receipt
jrn_2042_0013,2,2026-04-14,510000,51.98,0.00,INR,set_2042_0013,Synthetic gateway fee expense
jrn_2042_0013,3,2026-04-14,140000,9.35,0.00,INR,set_2042_0013,Synthetic input GST
jrn_2042_0013,4,2026-04-14,120000,0.00,2280.00,INR,set_2042_0013,Synthetic clearing credit
jrn_2042_0014,1,2026-04-15,110000,5693.96,0.00,INR,set_2042_0014,Synthetic bank receipt
jrn_2042_0014,2,2026-04-15,510000,128.00,0.00,INR,set_2042_0014,Synthetic gateway fee expense
jrn_2042_0014,3,2026-04-15,140000,23.04,0.00,INR,set_2042_0014,Synthetic input GST
jrn_2042_0014,4,2026-04-15,120000,0.00,5845.00,INR,set_2042_0014,Synthetic clearing credit
